IR	Green	Red	Blue	ACCx	ACCy	ACCz	HR_bpm	HRV
38210	41375	54284	24435	-4652	3076	-16088		
38136	41322	54276	24405	-4652	3076	-16088		
38060	41340	54255	24419	-4624	3036	-16136		
38061	41301	54250	24425	-4624	3036	-16136		
38047	41300	54252	24403	-4728	3092	-16020		
38087	41323	54261	24401	-4728	3092	-16020		
38106	41303	54260	24385	-4744	3048	-16232		
38082	41304	54272	24406	-4744	3048	-16232		
38085	41298	54244	24393	-4808	3104	-16128		
38031	41269	54259	24389	-4808	3104	-16128		
37976	41269	54233	24383	-4708	3112	-16188		
37959	41262	54233	24394	-4708	3112	-16188		
37946	41250	54229	24375	-4696	3116	-16228		
37951	41250	54216	24375	-4696	3116	-16228		
37966	41248	54248	24368	-4768	3036	-15996		
37975	41251	54242	24375	-4768	3036	-15996		
37952	41222	54238	24355	-4684	3064	-16144		
37987	41252	54261	24368	-4684	3064	-16144		
38036	41243	54292	24371	-4748	3240	-16092		
38060	41247	54303	24380	-4748	3240	-16092		
38092	41254	54320	24374	-4756	3152	-16256		
38120	41276	54351	24358	-4756	3152	-16256		
38102	41282	54325	24384	-4812	3144	-16092		
38129	41291	54334	24376	-4812	3144	-16092		
38132	41306	54346	24398	-4736	3116	-16256		
38165	41307	54360	24393	-4736	3116	-16256		
38157	41316	54347	24413	-4752	3200	-16180		
38106	41316	54333	24408	-4752	3200	-16180		
38048	41288	54324	24376	-4680	3112	-15988		
37956	41239	54327	24368	-4680	3112	-15988		
37833	41169	54299	24336	-4704	3228	-16288		
37738	41147	54280	24336	-4704	3228	-16288		
37694	41091	54288	24318	-4712	3232	-16008		
37700	41028	54296	24299	-4712	3232	-16008		
37705	41021	54323	24275	-4720	3088	-16204		
37793	41010	54345	24277	-4720	3088	-16204		
37815	40980	54371	24255	-4652	3092	-16072		
37839	40957	54378	24259	-4652	3092	-16072		
37875	40952	54423	24231	-4704	3244	-16056		
37932	40941	54432	24239	-4704	3244	-16056		
38063	40946	54482	24226	-4632	3092	-16116		
38118	40926	54500	24200	-4632	3092	-16116		
38181	40913	54518	24198	-4824	3144	-16104		
38152	40921	54493	24196	-4824	3144	-16104		
38125	40874	54479	24185	-4784	3184	-16128		
38089	40853	54478	24179	-4784	3184	-16128		
38114	40837	54517	24187	-4780	3160	-16128		
38151	40836	54543	24169	-4780	3160	-16128		
38176	40827	54575	24169	-4760	3184	-16056		
38235	40835	54581	24162	-4760	3184	-16056		
38278	40827	54615	24147	-4732	3128	-16080		
38252	40842	54630	24147	-4732	3128	-16080		
38250	40861	54667	24168	-4728	3104	-16048		
38260	40856	54675	24174	-4728	3104	-16048		
38268	40891	54679	24191	-4716	3084	-16044		
38297	40898	54734	24195	-4716	3084	-16044		
38351	40920	54751	24204	-4760	2896	-16124		
38377	40926	54778	24185	-4760	2896	-16124		
38330	40946	54774	24198	-4680	3092	-16128		
38278	40966	54789	24203	-4680	3092	-16128		
38251	40963	54750	24219	-4548	3116	-16164		
38222	40952	54742	24211	-4548	3116	-16164		
38186	40987	54749	24237	-4496	3124	-16092		
38160	40960	54716	24231	-4496	3124	-16092		
38157	40967	54724	24239	-4616	3348	-16164		
38156	40983	54723	24237	-4616	3348	-16164		
38191	40984	54723	24231	-4692	3180	-16100		
38203	40975	54708	24245	-4692	3180	-16100		
38207	40997	54709	24215	-4772	3140	-15924		
38162	40973	54703	24228	-4772	3140	-15924		
38177	40958	54698	24242	-4808	3092	-16160		
38165	40963	54707	24228	-4808	3092	-16160		
38099	40967	54667	24214	-4780	3108	-16100		
38018	40904	54613	24217	-4780	3108	-16100		
37987	40847	54610	24180	-4740	3116	-16168		
38009	40800	54639	24151	-4740	3116	-16168		
38028	40745	54673	24134	-4676	3088	-15972		
38068	40710	54709	24098	-4676	3088	-15972		
38070	40648	54732	24090	-4776	3148	-16184		
38063	40624	54746	24049	-4776	3148	-16184		
38046	40584	54746	24072	-4704	3156	-16044		
38026	40559	54741	24020	-4704	3156	-16044		
37973	40531	54751	24036	-4716	3160	-16200		
37949	40551	54735	24043	-4716	3160	-16200		
37924	40548	54732	24038	-4608	3132	-16060		
37947	40526	54752	24025	-4608	3132	-16060		
37902	40543	54745	24022	-4664	3116	-16084		
37855	40510	54750	24008	-4664	3116	-16084		
37757	40493	54728	24030	-4744	3016	-16108		
37694	40513	54715	24020	-4744	3016	-16108		
37720	40516	54747	24019	-4500	3220	-16104		
37782	40518	54745	24013	-4500	3220	-16104		
