IR	Green	Red	Blue	ACCx	ACCy	ACCz	HR_bpm	HRV
13716	64813	19910	40269	0	0	0		
13715	64831	19900	40261	0	0	0		
13742	64820	19905	40272	0	0	0		
13723	64825	19879	40279	0	0	0		
13728	64863	19887	40281	0	0	0		
13745	64849	19882	40292	0	0	0		
13763	64866	19873	40285	0	0	0		
13769	64867	19880	40297	0	0	0		
13753	64864	19892	40321	0	0	0		
13779	64890	19875	40307	0	0	0		
13758	64901	19875	40330	0	0	0		
13786	64923	19888	40315	0	0	0		
13814	64911	19894	40312	0	0	0		
16510	65379	23596	40595	0	0	0		
16490	65382	23570	40572	0	0	0		
16415	65372	23559	40615	0	0	0		
16427	65356	23539	40583	0	0	0		
16415	65360	23545	40588	0	0	0		
16422	65348	23525	40597	0	0	0		
16375	65321	23519	40560	0	0	0		
16313	65314	23493	40558	3308	9004	-14308		
16302	65319	23461	40567	3308	9004	-14308		
16329	65319	23463	40570	3312	9100	-14396		
16295	65301	23475	40562	3312	9100	-14396		
16296	65315	23457	40560	3248	8992	-14188		
16291	65328	23454	40564	3248	8992	-14188		
16324	65319	23454	40577	3076	9708	-13812		
16322	65332	23466	40565	3076	9708	-13812		
16311	65336	23459	40552	3168	9716	-13896		
16303	65322	23466	40582	3168	9716	-13896		
16327	65346	23461	40577	3124	9664	-13868		
16353	65340	23450	40594	3124	9664	-13868		
16352	65369	23480	40588	3056	9700	-13756		
16347	65358	23493	40589	3056	9700	-13756		
16322	65373	23502	40590	3056	9544	-13996		
16346	65383	23502	40589	3056	9544	-13996		
16347	65382	23503	40598	3120	9708	-13876		
16323	65389	23476	40612	3120	9708	-13876		
16313	65389	23471	40621	3160	9672	-13988		
16318	65403	23503	40600	3160	9672	-13988		
16265	65373	23529	40601	3252	9640	-13928		
16273	65330	23555	40558	3252	9640	-13928		
16243	65314	23549	40572	3084	9676	-13892		
16199	65286	23531	40568	3084	9676	-13892		
16175	65276	23516	40545	3136	9688	-13836		
16168	65260	23483	40544	3136	9688	-13836		
16110	65229	23432	40531	3060	9740	-13760		
16110	65239	23467	40529	3060	9740	-13760		
16101	65244	23450	40544	3164	9740	-13872		
16066	65211	23464	40518	3164	9740	-13872		
16090	65186	23478	40493	3116	9576	-13816		
16088	65202	23467	40527	3116	9576	-13816		
16038	65193	23475	40499	3112	9752	-13876		
15997	65176	23464	40516	3112	9752	-13876		
16012	65163	23463	40503	3092	9644	-13960		
15976	65165	23436	40495	3092	9644	-13960		
15960	65158	23420	40489	3028	9664	-13936		
15958	65137	23440	40490	3028	9664	-13936		
15960	65158	23416	40463	3016	9668	-13852		
15939	65126	23428	40496	3016	9668	-13852		
15935	65134	23395	40477	3152	9668	-13804		
15968	65152	23411	40474	3152	9668	-13804		
15981	65176	23419	40488	3172	9636	-13984		
16050	65199	23388	40520	3172	9636	-13984		
16055	65228	23368	40520	3200	9692	-13868		
16070	65236	23390	40518	3200	9692	-13868		
16045	65235	23342	40535	3148	9704	-13912		
16056	65247	23331	40533	3148	9704	-13912		
16073	65245	23326	40540	3012	9588	-14004		
16067	65254	23341	40527	3012	9588	-14004		
16077	65268	23361	40561	3124	9600	-14092		
16043	65245	23364	40553	3124	9600	-14092		
16071	65274	23387	40556	3028	9564	-13868		
16054	65264	23372	40560	3028	9564	-13868		
16032	65271	23401	40555	3160	9660	-13908		
16015	65254	23442	40539	3160	9660	-13908		
16000	65217	23483	40521	3124	9748	-13832		
15982	65181	23487	40508	3124	9748	-13832		
15989	65144	23484	40508	3120	9672	-13832		
15948	65129	23476	40477	3120	9672	-13832		
15933	65117	23469	40477	3092	9756	-13884		
15919	65096	23459	40484	3092	9756	-13884		
15896	65098	23418	40459	3108	9740	-13708		
15897	65081	23431	40470	3108	9740	-13708		
15898	65101	23420	40459	3148	9608	-13724		
15911	65076	23428	40452	3148	9608	-13724		
15926	65074	23398	40464	3088	9708	-13936		
15889	65060	23415	40451	3088	9708	-13936		
15885	65050	23447	40444	3020	9648	-13856		
15881	65047	23397	40437	3020	9648	-13856		
15847	65027	23390	40444	3044	9660	-13864		
15813	65028	23388	40430	3044	9660	-13864		
15836	65013	23421	40416	3128	9652	-13824		
15880	65024	23448	40415	3128	9652	-13824		
15843	65038	23471	40422	3228	9608	-13904		
15855	65037	23466	40436	3228	9608	-13904		
15883	65014	23459	40422	3268	9708	-13860		
15865	65004	23469	40432	3268	9708	-13860		
15823	65007	23410	40429	3148	9648	-13976		
15735	64997	23355	40428	3148	9648	-13976		
15636	65007	23269	40420	3168	9672	-13716		
15539	64969	23143	40408	3168	9672	-13716		
15382	64968	23059	40401	3200	9652	-13840		
15349	64983	23007	40405	3200	9652	-13840		
15302	64967	22973	40369	3108	9724	-13900		
15249	64967	22965	40385	3108	9724	-13900		
15255	64949	22968	40391	3020	9592	-13820		
15245	64973	22973	40384	3020	9592	-13820		
15299	65016	22989	40422	3200	9596	-14000		
15366	65018	23046	40405	3200	9596	-14000		
15409	65013	23110	40412	3096	9648	-13844		
15454	65029	23176	40417	3096	9648	-13844		
15485	65030	23237	40420	3124	9772	-13784		
15537	65012	23293	40430	3124	9772	-13784		
15581	64982	23361	40414	3168	9668	-13916		
15606	64959	23386	40386	3168	9668	-13916		
15621	64954	23407	40382	3116	9668	-14100		
15619	64940	23444	40367	3116	9668	-14100		
15651	64933	23430	40361	3140	9764	-13896		
15649	64913	23458	40367	3140	9764	-13896		
15669	64905	23463	40367	3012	9732	-13656		
15682	64895	23498	40365	3012	9732	-13656		
15677	64885	23516	40347	3100	9588	-13908		
15696	64900	23507	40358	3100	9588	-13908		
15671	64893	23498	40343	3068	9576	-13772		
15645	64886	23508	40348	3068	9576	-13772		
15665	64908	23521	40368	3208	9744	-13956		
15658	64881	23524	40344	3208	9744	-13956		
15631	64875	23560	40342	3060	9636	-13928		
15664	64872	23569	40339	3060	9636	-13928		
15666	64876	23587	40358	3024	9592	-14016		
15696	64880	23626	40343	3024	9592	-14016		
15743	64899	23681	40351	3064	9712	-13804		
15742	64880	23686	40357	3064	9712	-13804		
15758	64907	23691	40356	3088	9636	-13780		
15768	64885	23713	40367	3088	9636	-13780		
15800	64936	23739	40375	3236	9676	-13848		
15847	64956	23761	40379	3236	9676	-13848		
15821	64951	23781	40377	3160	9708	-13968		
15870	64959	23787	40379	3160	9708	-13968		
15903	64982	23820	40388	3016	9712	-13948		
15941	64997	23842	40403	3016	9712	-13948		
15951	65020	23859	40383	3020	9656	-13780		
15970	65030	23886	40417	3020	9656	-13780		
16010	65044	23939	40431	3048	9680	-13828		
16042	65064	23953	40421	3048	9680	-13828		
16043	65063	23957	40434	2984	9688	-13892		
16117	65091	23986	40430	2984	9688	-13892		
16125	65101	24007	40453	3160	9664	-13792		
16172	65135	24062	40446	3160	9664	-13792		
16173	65117	24074	40461	3060	9632	-13940		
16192	65096	24083	40464	3060	9632	-13940		
16199	65093	24110	40449	3076	9708	-13960		
16180	65068	24102	40416	3076	9708	-13960		
16164	65046	24120	40438	2972	9564	-14036		
16168	65000	24127	40433	2972	9564	-14036		
16165	65009	24109	40411	3132	9712	-13808		
16143	64993	24092	40400	3132	9712	-13808		
16139	64987	24101	40406	3000	9660	-13804		
16126	64961	24089	40384	3000	9660	-13804		
16138	64982	24097	40394	3072	9700	-13948		
16115	64961	24053	40380	3072	9700	-13948		
16112	64962	24063	40401	3088	9752	-13936		
16085	64954	24046	40393	3088	9752	-13936		
16074	64981	24045	40397	3024	9676	-13836		
16063	64969	24036	40385	3024	9676	-13836		
16041	64939	24029	40397	3004	9624	-14036		
16017	64947	23980	40388	3004	9624	-14036		
16011	64943	23997	40391	3052	9672	-13976		
15986	64932	23984	40376	3052	9672	-13976		
16012	64940	23994	40395	3008	9652	-13768		
16068	64935	24029	40387	3008	9652	-13768		
16073	64969	24048	40388	2904	9668	-13920		
16098	64948	24073	40383	2904	9668	-13920		
16093	64975	24094	40401	2984	9640	-13860		
16126	64991	24118	40392	2984	9640	-13860		
16158	65004	24105	40396	3060	9584	-13860		
16186	65008	24095	40390	3060	9584	-13860		
16182	65040	24129	40402	3116	9688	-13868		
16198	65035	24120	40407	3116	9688	-13868		
16206	65051	24142	40422	3028	9664	-13904		
16266	65058	24153	40424	3028	9664	-13904		
16252	65094	24188	40424	2872	9640	-13748		
16279	65090	24196	40443	2872	9640	-13748		
16253	65115	24181	40440	2976	9700	-13928		
16244	65126	24188	40454	2976	9700	-13928		
16268	65107	24200	40458	3068	9568	-13972		
16268	65139	24211	40468	3068	9568	-13972		
16229	65150	24188	40455	3088	9588	-13884		
16264	65136	24226	40460	3088	9588	-13884		
16275	65120	24273	40473	3088	9540	-13864		
16283	65116	24285	40450	3088	9540	-13864		
16219	65105	24292	40451	3092	9660	-13884		
16243	65059	24291	40422	3092	9660	-13884		
16207	65021	24271	40409	2972	9676	-13872		
16188	65012	24289	40418	2972	9676	-13872		
16175	64996	24280	40388	2968	9652	-13872		
16149	64997	24266	40404	2968	9652	-13872		
16131	64968	24286	40379	2960	9624	-13812		
16161	64977	24282	40389	2960	9624	-13812		
16129	64977	24270	40392	3000	9652	-13992		
16118	64973	24242	40378	3000	9652	-13992		
16107	64964	24265	40363	3016	9676	-13948		
16093	64959	24261	40384	3016	9676	-13948		
16021	64950	24227	40374	3032	9632	-13860		
16001	64924	24190	40358	3032	9632	-13860		
15947	64926	24166	40373	3060	9664	-13944		
15900	64896	24153	40373	3060	9664	-13944		
15886	64909	24128	40376	3156	9636	-13884		
15875	64888	24096	40368	3156	9636	-13884		
15865	64897	24090	40353	2996	9600	-13824		
15851	64888	24080	40356	2996	9600	-13824		
15817	64899	24074	40358	3124	9696	-13796		
15839	64906	24090	40372	3124	9696	-13796		
15811	64900	24079	40366	3020	9556	-14032		
15800	64915	24072	40365	3020	9556	-14032		
15799	64902	24066	40380	2988	9596	-14028		
15810	64920	24082	40381	2988	9596	-14028		
15807	64935	24042	40371	3064	9644	-13912		
15827	64932	24056	40379	3064	9644	-13912		
15809	64959	24072	40396	2984	9628	-14036		
15815	64939	24070	40410	2984	9628	-14036		
15847	64946	24090	40375	2996	9544	-13948		
15817	64961	24072	40395	2996	9544	-13948		
15840	64984	24073	40393	3032	9600	-13844		
15830	65004	24117	40412	3032	9600	-13844		
15834	65001	24111	40411	3040	9656	-13924		
15859	65006	24115	40406	3040	9656	-13924		
15879	64984	24154	40411	3016	9612	-13928		
15906	64976	24185	40405	3016	9612	-13928		
15937	64976	24222	40396	3036	9628	-14056		
15915	64914	24214	40387	3036	9628	-14056		
15924	64903	24237	40382	3088	9656	-14016		
15920	64893	24240	40349	3088	9656	-14016		
15893	64888	24239	40375	3048	9556	-13880		
15883	64875	24214	40331	3048	9556	-13880		
15853	64873	24236	40357	3068	9628	-14112		
15878	64864	24236	40352	3068	9628	-14112		
15858	64850	24227	40345	2996	9592	-13864		
15865	64872	24231	40343	2996	9592	-13864		
15862	64854	24262	40344	3128	9608	-13896		
15895	64833	24270	40324	3128	9608	-13896		
15859	64854	24260	40354	3004	9532	-13952		
15860	64842	24234	40332	3004	9532	-13952		
15843	64837	24238	40343	3064	9676	-13892		
15857	64827	24267	40355	3064	9676	-13892		
15864	64820	24260	40342	2976	9604	-13808		
15879	64832	24289	40336	2976	9604	-13808		
15908	64854	24320	40333	3072	9644	-13744		
15938	64856	24340	40342	3072	9644	-13744		
15971	64857	24339	40345	3052	9584	-13852		
15945	64859	24352	40354	3052	9584	-13852		
15949	64883	24358	40365	3156	9652	-13956		
15956	64871	24385	40368	3156	9652	-13956		
15977	64887	24369	40355	3236	9744	-13968		
15962	64928	24359	40386	3236	9744	-13968		
15989	64924	24363	40360	3084	9596	-13852		
15987	64927	24376	40393	3084	9596	-13852		
15997	64952	24388	40385	3128	9624	-13972		
16007	64944	24381	40391	3128	9624	-13972		
16011	64962	24382	40395	3080	9628	-13944		
15971	64972	24373	40404	3080	9628	-13944		
16010	64974	24362	40405	2948	9692	-13828		
16004	65001	24380	40410	2948	9692	-13828		
16016	64995	24381	40433	3020	9620	-13996		
15953	64998	24397	40415	3020	9620	-13996		
15936	64977	24397	40426	3040	9556	-13892		
