metric,perturbation,threshold,sensitivity,specificity
pi,-20%,0.012,0.7696,0.803
pi,-10%,0.0135,0.7442,0.8788
pi,+0%,0.015,0.7189,1.0
pi,+10%,0.0165,0.6935,1.0
pi,+20%,0.018,0.6452,1.0
skewness_ir,-20%,|val|≤1.51,0.8502,0.9091
skewness_ir,-10%,|val|≤1.7,0.9078,0.8939
skewness_ir,+0%,|val|≤1.88,0.9378,0.8788
skewness_ir,+10%,|val|≤2.07,0.97,0.8333
skewness_ir,+20%,|val|≤2.26,0.9839,0.7273
kurtosis_ir,-20%,"[-0.858, 6.06]",0.7235,0.8485
kurtosis_ir,-10%,"[-1.29, 6.5]",0.7765,0.8182
kurtosis_ir,+0%,"[-1.72, 6.93]",0.8364,0.803
kurtosis_ir,+10%,"[-2.16, 7.36]",0.8733,0.7273
kurtosis_ir,+20%,"[-2.59, 7.8]",0.9124,0.6061
snr_ir,-20%,-9.0555,0.659,0.6667
snr_ir,-10%,-10.1874,0.7373,0.6061
snr_ir,+0%,-11.3194,0.7811,0.5909
snr_ir,+10%,-12.4513,0.8226,0.5
snr_ir,+20%,-13.5832,0.8641,0.4091
entropy_ir,-20%,2.43,0.159,0.8939
entropy_ir,-10%,2.7338,0.2442,0.8182
entropy_ir,+0%,3.0375,0.3502,0.7576
entropy_ir,+10%,3.3413,0.4654,0.5303
entropy_ir,+20%,3.645,0.5576,0.4091
rel_power_ir,-20%,0.3074,0.3756,0.5606
rel_power_ir,-10%,0.3458,0.2926,0.6515
rel_power_ir,+0%,0.3843,0.2235,0.8182
rel_power_ir,+10%,0.4227,0.1129,0.8485
rel_power_ir,+20%,0.4611,0.0461,0.8788
acc_energy_std,-20%,69.8844,0.7627,0.5152
acc_energy_std,-10%,78.6199,0.818,0.4848
acc_energy_std,+0%,87.3555,0.8433,0.4697
acc_energy_std,+10%,96.091,0.8733,0.4091
acc_energy_std,+20%,104.8266,0.8894,0.4091
composite_sqi,-20%,0.36,0.9931,0.4697
composite_sqi,-10%,0.405,0.9793,0.7121
composite_sqi,+0%,0.45,0.9286,0.9545
composite_sqi,+10%,0.495,0.8295,0.9697
composite_sqi,+20%,0.54,0.6751,0.9848
